Account Name:,TOLU BAKARE
Account Number:,0123456789
Period:,01-Aug-2026 to 30-Sep-2026

Trans Date,Reference,Narration,Debit,Credit,Balance
01-Aug-2026,REF740210,"NIP TRF FROM ADEBAYO OLUWASEUN T/ACCESS/rent contrib AUG",,"150,000.00","570,000.00"
01-Aug-2026,REF740247,"ELECTRONIC MONEY TRANSFER LEVY","50.00",,"569,950.00"
02-Aug-2026,REF740284,"IKEDC PREPAID TOKEN MTR 04512345","25,000.00",,"544,950.00"
02-Aug-2026,REF740321,"MTN VTU AIRTIME 08031234567","5,000.00",,"539,950.00"
03-Aug-2026,REF740358,"NIP TRANSFER TO BAKARE FOLASADE/ZENITH/upkeep mummy","60,000.00",,"479,950.00"
03-Aug-2026,REF740395,"COMMISSION ON NIP TRANSFER","53.75",,"479,896.25"
03-Aug-2026,REF740432,"VAT ON NIP TRANSFER COMMISSION","4.03",,"479,892.22"
04-Aug-2026,REF740469,"POS PURCHASE @ SHOPRITE LEKKI LA LANG","42,300.00",,"437,592.22"
05-Aug-2026,REF740506,"BOLT.EU/O/2608 RIDE LAGOS","3,450.00",,"434,142.22"
05-Aug-2026,REF740543,"RCCG TITHE/FLUTTERWAVE","85,000.00",,"349,142.22"
06-Aug-2026,REF740580,"POS PURCHASE @ BETTYS KITCHEN IKEJA","8,500.00",,"340,642.22"
06-Aug-2026,REF740617,"NIP TRF TO JOHN LEVY/GTB/football kit","15,000.00",,"325,642.22"
06-Aug-2026,REF740654,"COMMISSION ON NIP TRANSFER","26.88",,"325,615.34"
06-Aug-2026,REF740691,"VAT ON NIP TRANSFER COMMISSION","2.02",,"325,613.32"
07-Aug-2026,REF740728,"DATA BUNDLE AIRTEL 20GB MONTHLY","10,000.00",,"315,613.32"
07-Aug-2026,REF740765,"REVERSAL: FAILED NIP TRF TO JOHN LEVY",,"15,000.00","330,613.32"
07-Aug-2026,REF740802,"ELECTRONIC MONEY TRANSFER LEVY","50.00",,"330,563.32"
08-Aug-2026,REF740839,"NETFLIX.COM SUBSCRIPTION CARD 5399****1182","6,500.00",,"324,063.32"
09-Aug-2026,REF740876,"CARBON LOAN REPAYMENT DD 000231","45,000.00",,"279,063.32"
09-Aug-2026,REF740913,"TRF FROM BRIGHTPATH MEDIA LTD/INV-0042 design retainer",,"250,000.00","529,063.32"
09-Aug-2026,REF740950,"ELECTRONIC MONEY TRANSFER LEVY","50.00",,"529,013.32"
10-Aug-2026,REF740987,"UBER *EATS PENDING LAGOS","9,800.00",,"519,213.32"
11-Aug-2026,REF741024,"TOTAL ENERGIES LEKKI FUEL POS","30,000.00",,"489,213.32"
11-Aug-2026,REF741061,"TRF TO CHIOMA OKAFOR/UBA/asoebi for wedding","35,000.00",,"454,213.32"
11-Aug-2026,REF741098,"COMMISSION ON NIP TRANSFER","26.88",,"454,186.44"
11-Aug-2026,REF741135,"VAT ON NIP TRANSFER COMMISSION","2.02",,"454,184.42"
12-Aug-2026,REF741172,"SPORTYBET WALLET FUNDING/PAYSTACK","5,000.00",,"449,184.42"
13-Aug-2026,REF741209,"TRF TO SELF/TOLU BAKARE/OPAY","100,000.00",,"349,184.42"
